time	magnitude
20.495	11.055
20.53361	10.939
20.57375	10.855
20.61319	11.066
20.65208	11.001
20.69097	11.132
20.72986	11.123
20.76903	10.875
20.80722	11.032
20.84125	11.069
20.87389	11.007
20.90556	11.098
20.93611	11.146
20.96611	11.146
20.99639	11.165
21.02694	11.192
21.05944	11.106
21.09194	11.207
21.12611	11.226
21.15722	11.304
21.18861	11.169
21.22056	11.259
21.25306	11.215
21.28528	11.184
21.31722	11.254
21.34917	11.303
21.38139	11.297
21.41333	11.334
21.44528	11.463
21.47792	11.514
21.51125	11.454
21.54458	11.492
21.57792	11.676
21.61125	11.678
21.64528	11.607
21.68278	11.59
21.72028	11.648
21.75778	11.782
21.79528	11.69
21.83306	11.636
21.87056	11.603
21.90806	11.525
21.94556	11.584
21.98306	11.443
22.02056	11.463
22.05806	11.35
22.09583	11.394
22.13306	11.282
22.17	11.263
22.20694	11.263
22.24403	11.308
22.28042	11.19
22.31375	11.242
22.34722	11.34
22.38028	11.283
22.41306	11.236
22.44611	11.161
22.47833	11.152
22.51	11.17
22.54056	11.011
22.57083	11.133
22.60083	11.11
22.62944	11.114
22.65806	11.091
22.68694	11.099
22.71694	11.072
22.74833	11.145
22.77889	11.128
22.80889	11.084
22.83917	11.12
22.86917	11.084
22.89917	11.082
22.92917	11.087
22.95917	11.068
22.98944	11.13
23.02	11.15
23.05083	11.096
23.08139	11.084
23.11194	11.032
23.1425	11.067
23.17333	11.063
23.20444	11.122
23.23583	11.05
23.26833	11.139
23.30083	11.137
23.33333	11.116
23.36583	11.109
23.39833	11.159
23.43111	11.056
23.46389	11.189
23.49639	11.172
23.52889	11.172
23.56139	11.168
23.59472	11.237
23.62722	11.203
23.66028	11.206
23.69472	11.233
23.72917	11.238
23.76361	11.227
23.78444	11.255
23.82028	11.309
23.85611	11.376
23.89833	11.327
23.93417	11.393
23.97028	11.409
24.00667	11.44
24.04278	11.52
24.07917	11.538
24.1175	11.568
24.15611	11.696
24.19667	11.74
24.23694	11.826
24.2775	11.82
24.31833	11.838
24.35861	11.845
24.39889	11.798
24.43944	11.901
24.47972	11.876
24.5175	11.806
24.555	11.81
24.59333	11.75
24.63083	11.637
24.66833	11.599
24.70583	11.537
24.74417	11.476
24.78167	11.454
24.81972	11.377
24.85778	11.393
24.89556	11.331
24.93306	11.286
24.97056	11.222
25.00861	11.183
25.04611	11.149
25.08361	11.172
25.12139	11.092
25.15889	11.161
25.19639	11.099
25.23417	11.059
25.27222	11.103
25.30972	11.015
25.34778	11.103
25.38528	11.007
25.42361	11.043
